,received,negotiated,gender,year
423,8.3,TRUE,M,2007
424,7.6,TRUE,F,2008
425,6.4,TRUE,M,2009
426,7.6,TRUE,F,2005
427,5.2,TRUE,M,2006
428,7.4,TRUE,F,2007
429,6.2,TRUE,M,2008
430,9.6,TRUE,F,2009
431,6.6,TRUE,M,2005
432,4.2,TRUE,F,2006
433,9.3,TRUE,M,2007
434,6.3,TRUE,F,2008
435,10.1,TRUE,M,2009
436,8.6,TRUE,F,2005
437,6.6,TRUE,M,2006
438,8.6,TRUE,F,2007
439,5.4,TRUE,M,2008
440,11.6,TRUE,F,2009
441,8.5,TRUE,M,2005
442,6.9,TRUE,F,2006
443,6.1,TRUE,M,2007
444,6.3,TRUE,F,2008
445,7.3,TRUE,M,2009
446,8.4,TRUE,F,2005
447,7.9,TRUE,M,2006
448,7.4,TRUE,F,2007
449,4.6,TRUE,M,2008
450,7.3,TRUE,F,2009
451,9,TRUE,M,2005
452,8.3,TRUE,F,2006
453,8.3,TRUE,M,2007
454,7.3,TRUE,F,2008
455,7.6,TRUE,M,2009
456,7.5,TRUE,F,2005
457,7.7,TRUE,M,2006
458,6,TRUE,F,2007
459,8.3,TRUE,M,2008
460,6.8,TRUE,F,2009
461,7.9,TRUE,M,2005
462,6.6,TRUE,F,2006
463,9.7,TRUE,M,2007
464,8.5,TRUE,F,2008
465,6.7,TRUE,M,2009
466,9.5,TRUE,F,2005
467,7.4,TRUE,M,2006
468,4.9,TRUE,F,2007
469,7.4,TRUE,M,2008
470,4.9,TRUE,F,2009
471,9.6,TRUE,M,2005
472,5.5,TRUE,F,2006
473,5.2,TRUE,M,2007
474,8.2,TRUE,F,2008
475,6.6,TRUE,M,2009
476,6.4,TRUE,F,2005
477,8,TRUE,M,2006
478,7.3,TRUE,F,2007
479,4.7,TRUE,M,2008
480,8.4,TRUE,F,2009
481,8.4,TRUE,M,2005
482,7.8,TRUE,F,2006
483,5.8,TRUE,M,2007
484,6,TRUE,F,2008
485,6.8,TRUE,M,2009
486,7.4,TRUE,F,2005
487,7,TRUE,M,2006
488,7.1,TRUE,F,2007
489,6.8,TRUE,M,2008
490,10.7,TRUE,F,2009
491,7.2,TRUE,M,2005
492,7.3,TRUE,F,2006
493,7.1,TRUE,M,2007
494,7.6,TRUE,F,2008
495,6.6,TRUE,M,2009
496,7.9,TRUE,F,2005
497,7.6,TRUE,M,2006
498,7.4,TRUE,F,2007
499,6.8,TRUE,M,2008
500,7.9,TRUE,F,2009
501,6.7,TRUE,M,2005
502,5.6,TRUE,F,2006
503,11.6,TRUE,M,2007
504,9.1,TRUE,F,2008
505,4.4,TRUE,M,2009
506,9,TRUE,F,2005
507,9.7,TRUE,M,2006
508,8.1,TRUE,F,2007
509,7.2,TRUE,M,2008
510,6.7,TRUE,F,2009
511,6,TRUE,M,2005
512,7.6,TRUE,F,2006
513,8.5,TRUE,M,2007
514,8.6,TRUE,F,2008
515,6.5,TRUE,M,2009
516,7.8,TRUE,F,2005
517,8.6,TRUE,M,2006
518,6.1,TRUE,F,2007
519,6.1,TRUE,M,2008
520,8.4,TRUE,F,2009
521,9.4,TRUE,M,2005
522,6.3,TRUE,F,2006
523,9.6,TRUE,M,2007
524,9.1,TRUE,F,2008
525,5.3,TRUE,M,2009
526,4.9,TRUE,F,2005
527,6.5,TRUE,M,2006
528,8.8,TRUE,F,2007
529,8.2,TRUE,M,2008
530,4.8,TRUE,F,2009
531,9.4,TRUE,M,2005
532,8.6,TRUE,F,2006
533,4.2,TRUE,M,2007
534,4.3,TRUE,F,2008
535,7,TRUE,M,2009
536,6.8,TRUE,F,2005
537,7,TRUE,M,2006
538,4.9,TRUE,F,2007
539,8.5,TRUE,M,2008
540,4.3,TRUE,F,2009
541,5.8,TRUE,M,2005
542,9.6,TRUE,F,2006
543,6.6,TRUE,M,2007
544,5.4,TRUE,F,2008
545,6.7,TRUE,M,2009
546,3.2,TRUE,F,2005
547,6.6,TRUE,M,2006
548,8.3,TRUE,F,2007
549,5.6,TRUE,M,2008
550,9.5,TRUE,F,2009
551,8.1,TRUE,M,2005
552,6.2,TRUE,F,2006
553,7.6,TRUE,M,2007
554,8.1,TRUE,F,2008
555,5.2,TRUE,M,2009
556,9.4,TRUE,F,2005
557,8.1,TRUE,M,2006
558,7.2,TRUE,F,2007
559,8.5,TRUE,M,2008
560,8.7,TRUE,F,2009
561,9,TRUE,M,2005
562,7,TRUE,F,2006
563,7.7,TRUE,M,2007
564,10.3,TRUE,F,2008
565,9.7,TRUE,M,2009
566,5.3,TRUE,F,2005
567,6.8,TRUE,M,2006
568,7.1,TRUE,F,2007
569,10.7,TRUE,M,2008
570,8.5,TRUE,F,2009
571,8.3,TRUE,M,2005
572,8,TRUE,F,2006
573,6.8,TRUE,M,2007
574,9,TRUE,F,2008
575,4.4,TRUE,M,2009
576,8.4,TRUE,F,2005
577,6.3,TRUE,M,2006
578,6,TRUE,F,2007
579,7.5,TRUE,M,2008
580,4.4,TRUE,F,2009
581,8.1,TRUE,M,2005
582,5.3,TRUE,F,2006
583,3.6,TRUE,M,2007
584,10.4,TRUE,F,2008
585,5.5,TRUE,M,2009
586,7.4,TRUE,F,2005
587,5.8,TRUE,M,2006
588,10,TRUE,F,2007
589,6.3,TRUE,M,2008
590,4.9,TRUE,F,2009
591,6.1,TRUE,M,2005
592,6.2,TRUE,F,2006
593,7.8,TRUE,M,2007
594,7.1,TRUE,F,2008
595,9.2,TRUE,M,2009
596,6.2,TRUE,F,2005
597,5.3,TRUE,M,2006
598,6.4,TRUE,F,2007
599,9.9,TRUE,M,2008
600,6,TRUE,F,2009
601,7.2,TRUE,M,2005
602,7,TRUE,F,2006
603,9.4,TRUE,M,2007
604,8,TRUE,F,2008
605,6.5,TRUE,M,2009
606,5.4,TRUE,F,2005
607,7.1,TRUE,M,2006
608,8.2,TRUE,F,2007
609,7.9,TRUE,M,2008
610,9.1,TRUE,F,2009
611,6.7,TRUE,M,2005
612,4.9,TRUE,F,2006
613,8.4,TRUE,M,2007
614,6.4,TRUE,F,2008
615,5.4,TRUE,M,2009
616,9.3,TRUE,F,2005
617,5.3,TRUE,M,2006
618,6.7,TRUE,F,2007
619,8.4,TRUE,M,2008
620,6.8,TRUE,F,2009
621,6.3,TRUE,M,2005
622,8.4,TRUE,F,2006
623,7.6,TRUE,M,2007
624,8.9,TRUE,F,2008
625,8.6,TRUE,M,2009
626,8,TRUE,F,2005
627,5.4,TRUE,M,2006
628,5.1,TRUE,F,2007
629,5.6,TRUE,M,2008
630,9.3,TRUE,F,2009
631,10.6,TRUE,M,2005
632,8,TRUE,F,2006
633,6.3,TRUE,M,2007
634,9.1,TRUE,F,2008
635,5.4,TRUE,M,2009
636,4.2,TRUE,F,2005
637,5.8,TRUE,M,2006
638,5.2,TRUE,F,2007
639,9.9,TRUE,M,2008
640,7.1,TRUE,F,2009
641,6.5,TRUE,M,2005
642,9.6,TRUE,F,2006
643,8.3,TRUE,M,2007
644,6.7,TRUE,F,2008
645,8.8,TRUE,M,2009
646,6,TRUE,F,2005
647,5.5,TRUE,M,2006
648,6.4,TRUE,F,2007
649,9.5,TRUE,M,2008
650,9.4,TRUE,F,2009
651,5.7,TRUE,M,2005
652,8.7,TRUE,F,2006
653,8.6,TRUE,M,2007
654,8.1,TRUE,F,2008
655,7.8,TRUE,M,2009
656,7.3,TRUE,F,2005
657,6.6,TRUE,M,2006
658,8.1,TRUE,F,2007
659,6.6,TRUE,M,2008
660,8.9,TRUE,F,2009
661,5.3,TRUE,M,2005
662,8.6,TRUE,F,2006
663,4.6,TRUE,M,2007
664,8.4,TRUE,F,2008
665,6.1,TRUE,M,2009
666,7.3,TRUE,F,2005
667,7,TRUE,M,2006
668,6.9,TRUE,F,2007
669,9.4,TRUE,M,2008
670,8.1,TRUE,F,2009
671,7.2,TRUE,M,2005
672,4.1,TRUE,F,2006
673,10.2,TRUE,M,2007
674,9.4,TRUE,F,2008
675,5.5,TRUE,M,2009
676,7.4,TRUE,F,2005
677,7.9,TRUE,M,2006
678,7.3,TRUE,F,2007
679,8.6,TRUE,M,2008
680,8,TRUE,F,2009
681,9.6,TRUE,M,2005
682,6.5,TRUE,F,2006
683,7.4,TRUE,M,2007
684,8.6,TRUE,F,2008
685,5.6,TRUE,M,2009
686,7.1,TRUE,F,2005
687,9,TRUE,M,2006
688,9.5,TRUE,F,2007
689,7.7,TRUE,M,2008
690,7.7,TRUE,F,2009
691,9.9,TRUE,M,2005
692,6.9,TRUE,F,2006
693,8,TRUE,M,2007
694,7.3,TRUE,F,2008
695,5.6,TRUE,M,2009
696,6.9,TRUE,F,2005
697,8.1,TRUE,M,2006
698,7.1,TRUE,F,2007
699,8,TRUE,M,2008
700,7.3,TRUE,F,2009
701,10.9,TRUE,M,2005
702,6.4,TRUE,F,2006
703,8.1,TRUE,M,2007
704,7.9,TRUE,F,2008
705,8.7,TRUE,M,2009
706,5.9,TRUE,F,2005
707,9.9,TRUE,M,2006
708,8.8,TRUE,F,2007
709,6.4,TRUE,M,2008
710,6.5,TRUE,F,2009
711,5.7,TRUE,M,2005
712,5.7,TRUE,F,2006
713,8.3,TRUE,M,2007
714,9.3,TRUE,F,2008
715,7.2,TRUE,M,2009
716,7.5,TRUE,F,2005
717,6.1,TRUE,M,2006
718,8.5,TRUE,F,2007
719,7.5,TRUE,M,2008
720,9.3,TRUE,F,2009
721,8.6,TRUE,M,2005
722,6.4,TRUE,F,2006
723,8.4,TRUE,M,2007
724,8.1,TRUE,F,2008
725,9.9,TRUE,M,2009
726,7.5,TRUE,F,2005
727,6.9,TRUE,M,2006
728,7.9,TRUE,F,2007
729,7.4,TRUE,M,2008
730,8.5,TRUE,F,2009
731,5,TRUE,M,2005
732,6.4,TRUE,F,2006
733,6.1,TRUE,M,2007
734,6.5,TRUE,F,2008
735,8.7,TRUE,M,2009
736,8.6,TRUE,F,2005
737,6.6,TRUE,M,2006
738,5,TRUE,F,2007
739,4.4,TRUE,M,2008
740,5.5,TRUE,F,2009
741,8.1,TRUE,M,2005
742,9.7,TRUE,F,2006
743,7.3,TRUE,M,2007
744,5.2,TRUE,F,2008
745,7.7,TRUE,M,2009
746,6.6,TRUE,F,2005
747,7.8,TRUE,M,2006
748,6.7,TRUE,F,2007
749,8.5,TRUE,M,2008
750,6.1,TRUE,F,2009
751,5,TRUE,M,2005
752,8.4,TRUE,F,2006
753,6.7,TRUE,M,2007
754,8.2,TRUE,F,2008
755,5.2,TRUE,M,2009
756,6.2,TRUE,F,2005
757,6.4,TRUE,M,2006
758,6,TRUE,F,2007
759,6.3,TRUE,M,2008
760,8.1,TRUE,F,2009
761,10.2,TRUE,M,2005
762,6.3,TRUE,F,2006
763,5.1,TRUE,M,2007
764,7.7,TRUE,F,2008
765,5.9,TRUE,M,2009
766,7,TRUE,F,2005
767,4.6,TRUE,M,2006
768,7.3,TRUE,F,2007
769,5.7,TRUE,M,2008
770,8.5,TRUE,F,2009
771,7.7,TRUE,M,2005
772,5.5,TRUE,F,2006
773,7,TRUE,M,2007
774,9.3,TRUE,F,2008
775,5.1,TRUE,M,2009
776,6.3,TRUE,F,2005
777,4.9,TRUE,M,2006
778,7.3,TRUE,F,2007
779,7.7,TRUE,M,2008
780,3.9,TRUE,F,2009
781,4.6,TRUE,M,2005
782,7.2,TRUE,F,2006
783,7.9,TRUE,M,2007
784,7.6,TRUE,F,2008
785,5.1,TRUE,M,2009
786,6,TRUE,F,2005
787,5.4,TRUE,M,2006
788,7.2,TRUE,F,2007
789,5.8,TRUE,M,2008
790,6.2,TRUE,F,2009
791,7,TRUE,M,2005
792,6.7,TRUE,F,2006
793,7.1,TRUE,M,2007
794,6.2,TRUE,F,2008
795,6.1,TRUE,M,2009
796,10.9,TRUE,F,2005
797,7.7,TRUE,M,2006
798,10.8,TRUE,F,2007
799,7.2,TRUE,M,2008
800,6.1,TRUE,F,2009
801,8.2,TRUE,M,2005
802,5.4,TRUE,F,2006
803,5.1,TRUE,M,2007
804,7,TRUE,F,2008
805,8.8,TRUE,M,2009
806,5.8,TRUE,F,2005
807,8.9,TRUE,M,2006
808,6.6,TRUE,F,2007
809,6.2,TRUE,M,2008
810,9,TRUE,F,2009
811,6.2,TRUE,M,2005
812,7.9,TRUE,F,2006
813,7.4,TRUE,M,2007
814,5.1,TRUE,F,2008
815,2.9,TRUE,M,2009
816,7,TRUE,F,2005
817,6,TRUE,M,2006
818,4.1,TRUE,F,2007
819,7.8,TRUE,M,2008
820,6,TRUE,F,2009
821,6.9,TRUE,M,2005
822,5,TRUE,F,2006
823,7.6,TRUE,M,2007
824,8.3,TRUE,F,2008
825,6.7,TRUE,M,2009
826,7.3,TRUE,F,2005
827,7.4,TRUE,M,2006
828,7.7,TRUE,F,2007
829,8.4,TRUE,M,2008
830,10.1,TRUE,F,2009
831,6.3,TRUE,M,2005
832,5.9,TRUE,F,2006
833,7.1,TRUE,M,2007
834,6.6,TRUE,F,2008
835,11.3,TRUE,M,2009
836,6.6,TRUE,F,2005
837,8.4,TRUE,M,2006
838,6.1,TRUE,F,2007
839,8.8,TRUE,M,2008
840,5.7,TRUE,F,2009
841,5.7,TRUE,M,2005
842,7.8,TRUE,F,2006
843,6.9,TRUE,M,2007
844,6.8,TRUE,F,2008
845,6.6,TRUE,M,2009
846,9.4,TRUE,F,2005
847,6.6,TRUE,M,2006
848,6.7,TRUE,F,2007
849,5.5,TRUE,M,2008
850,9,TRUE,F,2009
851,8.5,TRUE,M,2005
852,9.8,TRUE,F,2006
853,6.2,TRUE,M,2007
854,9.4,TRUE,F,2008
855,9.5,TRUE,M,2009
856,8.7,TRUE,F,2005
857,8.9,TRUE,M,2006
858,5.9,TRUE,F,2007
859,8.9,TRUE,M,2008
860,8.5,TRUE,F,2009
861,8.7,TRUE,M,2005
862,7.6,TRUE,F,2006
863,12.1,TRUE,M,2007
864,6.1,TRUE,F,2008
865,10.8,TRUE,M,2009
866,8.3,TRUE,F,2005
867,5.5,TRUE,M,2006
868,5.2,TRUE,F,2007
869,7.4,TRUE,M,2008
870,10.2,TRUE,F,2009
871,6,TRUE,M,2005
872,9.3,TRUE,F,2006
873,8.4,TRUE,M,2007
874,7,TRUE,F,2008
875,5.9,TRUE,M,2009
876,6.4,TRUE,F,2005
877,7.5,TRUE,M,2006
878,9.6,TRUE,F,2007
879,6.1,TRUE,M,2008
880,9.1,TRUE,F,2009
881,7.2,TRUE,M,2005
882,8.7,TRUE,F,2006
883,9.1,TRUE,M,2007
884,5.2,TRUE,F,2008
885,7,TRUE,M,2009
886,7.7,TRUE,F,2005
887,9.3,TRUE,M,2006
888,5.6,TRUE,F,2007
889,5.7,TRUE,M,2008
890,9.1,TRUE,F,2009
891,8.1,TRUE,M,2005
892,8.8,TRUE,F,2006
893,7.1,TRUE,M,2007
894,9.6,TRUE,F,2008
895,7.2,TRUE,M,2009
896,9.6,TRUE,F,2005
897,7.4,TRUE,M,2006
898,7.6,TRUE,F,2007
899,5.9,TRUE,M,2008
900,5.2,TRUE,F,2009
901,6.5,TRUE,M,2005
902,7.6,TRUE,F,2006
903,6.4,TRUE,M,2007
904,6.4,TRUE,F,2008
905,7.8,TRUE,M,2009
906,6.3,TRUE,F,2005
907,7.4,TRUE,M,2006
908,8.3,TRUE,F,2007
909,6.5,TRUE,M,2008
910,8.5,TRUE,F,2009
