saleID,issueID,lotSize
1074,48,100
2751,102,100
617,27,100
2855,105,100
106,6,100
1677,74,100
63,4,100
1727,76,100
1400,59,100
568,26,100
1688,74,100
2623,99,100
1320,57,100
2070,86,100
1194,53,100
3192,113,100
2177,88,100
561,25,100
168,8,100
3149,112,100
2877,106,100
439,21,100
1990,84,100
813,36,100
84,5,100
1432,62,100
2342,92,100
652,29,100
3235,115,100
1891,81,100
2012,84,100
616,27,100
243,12,100
3175,113,100
2279,91,100
188,9,100
1023,45,100
1467,63,100
103,5,100
1645,73,100
3075,110,97
1378,59,100
731,33,100
2228,90,100
488,23,100
1904,82,100
2039,85,100
2017,84,100
850,38,100
1265,55,100
123,6,100
132,7,100
2562,98,100
1122,50,100
2275,91,100
2059,85,100
2277,91,100
670,30,100
2268,90,57
1900,82,100
1505,66,100
2974,108,100
1001,44,100
1028,45,100
1536,67,100
1242,55,100
499,23,100
532,24,100
948,41,100
534,24,100
2633,100,100
1423,61,100
2061,85,100
612,27,100
2458,95,100
1764,77,100
2966,108,100
839,37,19
772,35,100
2930,107,100
257,12,100
2673,101,100
1232,54,100
782,35,100
507,24,100
450,21,100
1778,78,100
1350,58,100
1241,55,100
1149,51,100
1104,50,100
3072,110,100
1051,46,2
734,33,100
2239,90,100
942,41,100
22,1,100
3274,115,38
941,41,100
333,16,100
2062,85,100
2025,85,100
1096,49,100
2609,99,100
240,11,42
2143,87,100
1910,82,100
3186,113,100
3133,112,100
815,36,100
685,31,100
1110,50,100
2489,96,100
259,12,100
529,24,100
2361,93,100
1347,58,100
1280,56,100
1027,45,100
1744,76,100
591,26,100
866,39,100
419,20,100
3027,109,100
152,8,100
44,3,100
52,3,100
1884,81,100
2118,87,100
1520,66,100
482,22,100
3178,113,100
922,41,100
585,26,100
861,39,100
49,3,100
2958,108,100
72,4,100
2010,84,100
1158,52,100
1548,67,100
2313,92,100
1081,48,100
1622,72,100
1514,66,100
1088,49,100
3094,111,100
1282,56,100
234,11,100
1528,67,100
2802,104,100
1080,48,100
656,29,100
1364,58,100
2352,93,100
749,33,74
1298,56,100
1452,62,100
2180,88,100
239,11,100
2485,96,100
217,11,100
3012,109,100
681,31,100
1349,58,100
635,28,100
1131,50,100
1844,80,100
715,32,100
2646,100,100
2943,107,100
3244,115,100
1625,72,100
1694,74,100
1114,50,100
1417,61,100
1453,62,8
2553,98,100
1294,56,100
26,2,100
2483,96,100
877,39,100
2685,101,100
470,22,100
3237,115,100
2386,93,100
994,44,100
1513,66,100
1357,58,100
846,38,100
2412,94,100
2515,97,100
2881,106,100
753,34,100
71,4,100
763,34,100
727,33,100
771,35,100
676,30,100
1695,74,100
407,19,100
2298,91,100
2098,86,100
1506,66,100
3155,113,100
2204,89,100
341,17,100
1837,80,100
204,11,100
465,22,100
2570,98,100
1743,76,100
1598,71,100
1179,52,100
1684,74,100
2154,88,100
360,17,100
2252,90,100
1257,55,100
2393,94,100
394,18,100
766,34,40
833,37,100
3015,109,100
834,37,100
933,41,100
2453,95,100
400,18,89
1732,76,100
1382,59,100
2113,87,100
2836,105,100
2339,92,100
2297,91,100
1360,58,100
2939,107,100
2390,94,100
1064,47,100
178,9,100
3079,111,100
886,39,79
2404,94,100
2681,101,100
165,8,100
1511,66,100
210,11,100
2794,104,100
228,11,100
3140,112,100
2335,92,100
378,18,100
1233,54,100
1379,59,100
2669,100,100
2969,108,100
1781,78,100
1579,69,100
288,14,100
75,4,100
2283,91,100
159,8,100
1643,73,100
1977,83,100
1032,45,100
2237,90,100
130,7,100
3099,111,100
2888,106,100
2744,102,100
855,38,100
374,17,100
3266,115,100
1425,61,100
3003,109,100
1386,59,100
264,13,100
1670,74,100
131,7,100
1214,53,100
1630,73,100
1301,56,100
3006,109,100
3249,115,100
1047,46,100
2087,86,100
521,24,100
11,1,100
170,8,100
2187,89,100
840,38,100
1466,63,100
1896,81,100
98,5,100
723,33,100
678,31,100
1469,63,100
2952,107,100
1901,82,100
1031,45,100
1533,67,100
1851,80,100
1205,53,100
851,38,100
2798,104,100
2464,95,100
2427,94,100
1380,59,100
2768,103,100
3246,115,100
2667,100,100
2131,87,100
2307,91,100
2582,98,100
1755,77,100
1024,45,100
1258,55,100
671,30,100
1609,72,100
2820,104,100
630,28,100
1892,81,100
121,6,100
1016,44,44
972,43,100
58,4,100
2611,99,100
182,9,100
79,5,100
665,29,100
1187,52,100
1507,66,100
1828,80,100
556,25,100
1163,52,100
2377,93,100
783,35,100
1680,74,100
266,13,100
2715,102,100
1961,83,100
1538,67,100
145,7,100
1319,57,100
1291,56,100
1735,76,100
246,12,100
2457,95,100
1014,44,100
2049,85,100
1780,78,100
3038,110,100
2178,88,100
1838,80,100
320,16,100
1613,72,100
1760,77,100
2329,92,100
551,25,100
2,1,100
365,17,100
764,34,100
2369,93,100
401,19,100
2665,100,100
1084,48,100
3256,115,100
2266,90,100
2300,91,100
2447,95,100
1071,48,100
1352,58,100
602,27,100
774,35,100
1278,55,100
1606,71,100
1710,75,100
1797,78,100
2097,86,100
2008,84,100
1362,58,100
3151,112,100
822,36,100
1263,55,100
2071,86,100
398,18,100
1503,66,100
2407,94,100
1426,61,16
1603,71,100
519,24,100
2767,103,100
2558,98,100
445,21,100
930,41,100
317,16,100
664,29,100
2862,105,100
2344,92,100
1435,62,100
743,33,100
2972,108,100
56,4,100
3037,110,100
1270,55,100
2522,97,100
2762,103,100
296,14,100
2359,93,100
1195,53,100
986,43,69
3144,112,100
1234,54,100
1330,57,100
1180,52,100
3181,113,100
1785,78,100
2814,104,100
2702,101,100
496,23,100
118,6,100
759,34,100
3010,109,100
792,35,38
1655,73,100
1945,83,100
1840,80,100
791,35,100
117,6,100
1841,80,100
309,15,100
1504,66,100
1753,76,100
935,41,100
1212,53,100
2823,104,100
2668,100,100
1949,83,100
2332,92,100
3,1,100
436,20,100
1751,76,100
1118,50,100
211,11,100
826,37,100
1101,50,100
988,44,100
2619,99,100
1397,59,100
2463,95,100
858,39,100
2866,105,100
2747,102,100
999,44,100
1029,45,100
2750,102,100
248,12,100
566,26,100
2456,95,100
940,41,100
695,31,100
1970,83,100
1201,53,100
2927,107,100
841,38,100
113,6,100
260,12,100
2746,102,100
1911,82,100
1929,82,100
1973,83,100
2842,105,100
2709,101,100
3063,110,100
632,28,100
2136,87,100
2573,98,100
1112,50,100
2564,98,100
2519,97,100
1495,65,100
543,25,100
1739,76,100
2389,94,100
1236,55,100
294,14,100
1541,67,100
345,17,100
3173,113,100
2752,102,66
1461,63,100
584,26,100
3117,112,100
1076,48,100
2965,108,100
2671,100,100
1317,57,100
2422,94,100
2654,100,100
1020,45,100
889,40,100
2769,103,100
1284,56,100
1666,74,100
2391,94,100
515,24,100
1197,53,100
1988,84,100
1687,74,100
1410,60,100
899,40,100
606,27,100
2580,98,100
3029,109,100
2082,86,100
805,36,100
362,17,100
2192,89,100
1323,57,100
1525,67,100
238,11,100
2945,107,100
973,43,100
2660,100,100
872,39,100
2858,105,100
1658,73,100
2973,108,100
3053,110,100
2699,101,100
2001,84,100
2189,89,100
1231,54,100
1033,45,69
2766,103,100
78,5,100
144,7,100
1120,50,100
1497,66,100
2449,95,100
1230,54,100
536,24,100
2063,85,100
435,20,100
2426,94,100
672,30,100
902,40,100
3002,109,100
2072,86,100
474,22,100
3233,114,100
1385,59,100
371,17,100
540,24,100
832,37,100
539,24,100
3226,114,100
571,26,100
2425,94,100
831,37,100
3112,111,100
2780,103,100
206,11,100
1846,80,100
989,44,100
2372,93,100
3020,109,100
1934,82,100
1547,67,100
2887,106,100
674,30,100
2830,104,100
778,35,100
2825,104,100
1277,55,100
2149,88,100
726,33,100
803,36,100
1862,81,100
1268,55,100
1159,52,100
2920,107,100
3150,112,100
1407,60,100
517,24,100
503,23,100
3137,112,100
1679,74,100
270,13,100
2048,85,100
1026,45,100
138,7,100
177,9,100
354,17,100
194,10,100
917,41,100
3034,109,100
625,27,96
2874,105,100
2468,95,100
158,8,100
1510,66,100
2322,92,100
2473,96,100
2208,89,100
1152,51,100
3047,110,100
2241,90,100
2610,99,100
2856,105,100
2476,96,100
2854,105,100
1811,79,100
331,16,100
363,17,100
3160,113,100
1508,66,100
2168,88,100
956,42,100
2439,95,100
2235,90,100
1210,53,100
987,44,100
844,38,100
3062,110,100
3001,109,100
2350,93,100
2280,91,100
3109,111,100
466,22,100
1543,67,100
554,25,100
2859,105,100
2163,88,100
451,21,100
589,26,100
2151,88,100
663,29,100
6,1,100
1053,47,100
1480,64,100
812,36,100
1783,78,100
323,16,100
245,12,100
2680,101,100
1095,49,100
1478,64,100
2538,97,100
998,44,100
754,34,100
169,8,100
758,34,100
1830,80,100
279,13,100
817,36,100
3211,114,100
218,11,100
3242,115,100
1401,59,100
442,21,100
468,22,100
1512,66,100
160,8,100
552,25,100
1392,59,100
23,1,27
796,36,100
2612,99,100
2375,93,100
3030,109,100
1078,48,100
1367,59,100
787,35,100
1041,46,100
893,40,100
1756,77,100
1818,80,100
2296,91,100
495,23,100
2102,86,100
2661,100,100
2084,86,100
2230,90,100
931,41,100
2775,103,100
2486,96,100
2867,105,100
3200,114,100
281,13,26
2550,97,100
1706,75,100
1647,73,100
1202,53,100
1517,66,100
416,20,100
522,24,100
1919,82,100
1810,79,100
2219,89,100
1262,55,100
355,17,100
2238,90,100
1802,79,100
608,27,100
959,42,100
2159,88,100
3116,112,100
316,16,100
2616,99,100
2991,108,100
2812,104,100
111,6,100
2355,93,100
2981,108,100
980,43,100
2834,104,74
1220,53,100
1250,55,100
2676,101,100
3058,110,100
2287,91,100
1707,75,100
1725,76,100
1354,58,100
283,14,100
2941,107,100
575,26,100
647,29,100
1055,47,100
983,43,100
2954,107,100
2272,91,100
1390,59,100
1395,59,100
1045,46,100
161,8,100
818,36,100
1581,69,100
361,17,100
272,13,100
984,43,100
2031,85,100
2108,87,100
748,33,100
1831,80,100
60,4,100
2354,93,100
2712,101,100
2733,102,100
900,40,100
699,32,100
1566,69,100
1281,56,100
2551,97,20
1200,53,100
1021,45,100
402,19,100
1965,83,100
701,32,100
1917,82,100
2030,85,100
667,30,100
2896,106,100
662,29,100
1324,57,100
784,35,100
975,43,100
1861,81,100
2380,93,100
1894,81,100
1646,73,100
2605,99,100
2868,105,100
3222,114,100
303,15,100
1491,65,100
47,3,100
2284,91,100
1827,80,100
976,43,100
775,35,100
1274,55,100
923,41,100
171,8,100
1447,62,100
68,4,100
202,10,100
1795,78,100
3125,112,100
2578,98,100
2181,88,100
1768,78,100
251,12,100
2691,101,100
1192,53,100
746,33,100
2004,84,100
1418,61,100
2471,96,100
2895,106,100
2166,88,100
413,19,100
500,23,100
2817,104,100
1789,78,100
1618,72,100
2265,90,100
1870,81,100
2078,86,100
478,22,100
2781,103,100
1876,81,100
863,39,100
2490,96,100
2411,94,100
3064,110,100
242,12,100
417,20,100
1633,73,100
2398,94,100
35,3,100
1235,54,87
2370,93,100
1454,63,100
793,36,100
1056,47,100
2651,100,100
1693,74,100
1148,51,100
2601,99,100
3008,109,100
1421,61,100
1279,55,39
1791,78,100
669,30,100
1805,79,100
711,32,100
1612,72,100
2748,102,100
2697,101,100
2013,84,100
1711,75,100
3176,113,100
2005,84,100
314,16,100
262,12,53
1370,59,100
1424,61,100
467,22,100
2431,95,100
3271,115,100
108,6,100
1313,57,100
2378,93,100
82,5,100
1808,79,100
2822,104,100
1726,76,100
24,2,100
1097,49,64
1608,71,6
3247,115,100
2994,108,100
769,35,100
666,29,69
1272,55,100
1546,67,100
697,31,100
1747,76,100
1399,59,100
1292,56,100
3263,115,100
2600,99,100
1716,75,100
1018,45,100
2205,89,100
1568,69,100
2156,88,100
2628,99,100
38,3,100
3011,109,100
3209,114,100
2544,97,100
2999,109,100
3219,114,100
2829,104,100
530,24,100
2947,107,100
2147,88,100
1813,79,100
2873,105,100
220,11,100
1855,80,100
1807,79,100
16,1,100
684,31,100
3113,111,100
2949,107,100
1672,74,100
2491,96,100
3100,111,100
838,37,100
1203,53,100
140,7,100
802,36,100
252,12,100
3214,114,100
2364,93,100
1814,79,100
1580,69,100
560,25,100
1564,68,31
765,34,100
3164,113,100
2865,105,100
2857,105,100
2094,86,100
27,2,100
1338,58,100
2718,102,100
3221,114,100
2773,103,100
518,24,100
1902,82,100
2626,99,100
3024,109,100
2566,98,100
2125,87,100
2022,84,100
201,10,100
757,34,100
1396,59,100
1226,54,100
1649,73,100
2876,106,100
1774,78,100
342,17,100
2799,104,100
2518,97,100
510,24,100
1587,69,100
236,11,100
747,33,100
2091,86,100
2099,86,100
2434,95,100
993,44,100
2976,108,100
2460,95,100
2946,107,100
1620,72,100
1571,69,100
1839,80,100
2863,105,100
2236,90,100
2433,95,100
3217,114,100
2568,98,100
1133,50,100
2764,103,100
1091,49,100
2569,98,100
1856,80,100
1570,69,100
2734,102,100
2414,94,100
126,6,6
1165,52,100
1132,50,100
3254,115,100
892,40,100
2772,103,100
1703,74,22
273,13,100
173,9,100
2593,99,100
150,8,100
232,11,100
2849,105,100
1771,78,100
1796,78,100
1561,68,100
3035,109,86
258,12,100
953,41,100
2362,93,100
719,33,100
2960,108,100
1066,47,100
2260,90,100
2727,102,100
1994,84,100
2438,95,100
2081,86,100
2583,98,100
1355,58,100
1011,44,100
411,19,100
992,44,100
2337,92,100
2249,90,100
3196,114,100
1012,44,100
154,8,100
1167,52,100
1635,73,100
427,20,100
1607,71,100
1931,82,100
1103,50,100
645,29,100
2267,90,100
2705,101,100
1717,75,100
604,27,100
2935,107,100
1437,62,100
1089,49,100
2223,89,100
3262,115,100
997,44,100
1334,58,100
1770,78,100
2776,103,100
2878,106,100
2500,96,100
2016,84,100
3230,114,100
2174,88,100
3066,110,100
1008,44,100
352,17,100
1383,59,100
2152,88,100
1439,62,100
2886,106,100
2714,102,100
2304,91,100
738,33,100
2911,106,100
1251,55,100
735,33,100
3092,111,100
1073,48,100
1213,53,100
409,19,100
1381,59,100
590,26,100
1142,51,100
888,40,100
2242,90,100
81,5,100
2248,90,100
2167,88,100
430,20,100
437,20,40
2405,94,100
469,22,100
455,22,100
938,41,100
2860,105,100
675,30,100
1719,75,62
2531,97,100
1,1,100
1868,81,100
1885,81,100
1898,81,31
497,23,100
1290,56,100
172,8,8
2940,107,100
1209,53,100
1676,74,100
2101,86,100
1117,50,100
648,29,100
2024,85,100
2695,101,100
1409,60,100
1216,53,100
2641,100,100
3110,111,100
898,40,100
2693,101,100
2376,93,100
2894,106,100
19,1,100
326,16,100
1964,83,100
1215,53,100
2233,90,100
2620,99,100
601,27,100
1731,76,100
2257,90,100
618,27,100
650,29,100
1869,81,100
2655,100,100
1825,80,100
2169,88,100
2903,106,100
3033,109,100
2206,89,100
1864,81,100
1767,78,100
20,1,100
1297,56,100
1193,53,100
1521,66,100
3070,110,100
299,15,100
862,39,100
1996,84,100
322,16,100
3206,114,100
911,40,100
2281,91,100
114,6,100
421,20,100
2933,107,100
2357,93,100
2690,101,100
3045,110,100
2042,85,100
298,15,100
2929,107,100
1637,73,100
2539,97,100
1444,62,100
820,36,100
1758,77,100
3264,115,100
2686,101,100
2677,101,100
2408,94,100
3121,112,100
393,18,100
2666,100,100
3018,109,100
2560,98,100
1121,50,100
1345,58,100
230,11,100
564,25,52
2914,106,100
2312,92,100
637,28,74
2090,86,100
3240,115,100
1549,67,100
3023,109,100
268,13,100
965,42,100
2789,103,100
2653,100,100
1356,58,100
1667,74,100
1285,56,100
1057,47,100
2882,106,100
3252,115,100
200,10,100
1803,79,100
14,1,100
736,33,100
462,22,100
1398,59,100
1572,69,100
1314,57,100
3052,110,100
1659,73,100
1287,56,100
1544,67,100
1428,62,100
2092,86,100
2493,96,100
1374,59,100
148,7,40
3082,111,100
2320,92,100
3163,113,100
2916,107,100
640,29,100
1650,73,100
1475,64,100
717,32,100
2419,94,100
3031,109,100
1067,47,100
2922,107,100
852,38,100
1734,76,100
1516,66,100
853,38,100
1042,46,100
2546,97,100
3007,109,100
1266,55,100
3215,114,100
756,34,100
1836,80,100
143,7,100
1773,78,100
2251,90,100
901,40,100
1992,84,100
3016,109,100
3132,112,100
2801,104,100
1963,83,100
3041,110,100
1887,81,100
2184,88,100
214,11,100
1077,48,100
2698,101,100
3057,110,100
2828,104,100
334,16,100
944,41,100
2321,92,100
3084,111,100
3243,115,100
3004,109,100
810,36,100
1787,78,100
3097,111,100
1105,50,100
2440,95,100
307,15,100
353,17,100
2706,101,100
1859,81,100
15,1,100
2029,85,100
3076,111,100
1582,69,100
2870,105,100
2410,94,100
87,5,100
89,5,100
3127,112,100
2584,98,100
2581,98,100
2215,89,100
849,38,100
1102,50,100
351,17,100
1366,59,100
1815,79,100
2308,91,100
2451,95,100
2552,98,100
1113,50,100
3138,112,100
267,13,100
2138,87,100
1886,81,100
550,25,100
2413,94,100
2554,98,100
2459,95,100
1269,55,100
2613,99,100
835,37,100
3194,113,70
2441,95,100
2316,92,100
199,10,100
2637,100,100
977,43,100
2162,88,100
384,18,100
101,5,100
2351,93,100
1573,69,100
2240,90,100
883,39,100
1307,56,100
2786,103,100
2721,102,100
1063,47,100
2532,97,100
3085,111,100
46,3,100
804,36,100
319,16,100
740,33,100
2086,86,100
1499,66,100
1085,48,100
1490,65,100
1534,67,100
1834,80,100
2209,89,100
2289,91,100
1922,82,100
673,30,100
737,33,100
2742,102,100
2053,85,100
2160,88,100
1322,57,100
207,11,100
1820,80,100
2683,101,100
480,22,100
827,37,100
3147,112,100
2056,85,100
668,30,100
714,32,100
1308,56,78
2076,86,100
2383,93,100
2121,87,100
329,16,100
224,11,100
1664,74,100
125,6,100
1532,67,100
3251,115,100
1709,75,100
921,41,100
1427,62,100
1368,59,100
2196,89,100
1529,67,100
2642,100,100
431,20,100
1154,51,100
127,7,100
2195,89,100
622,27,100
2950,107,100
572,26,100
2905,106,100
1311,57,100
750,34,100
562,25,100
824,36,34
2985,108,100
1683,74,100
2023,84,40
777,35,100
2314,92,100
487,22,39
3049,110,100
1858,81,100
620,27,100
3078,111,100
1493,65,100
2521,97,100
2541,97,100
115,6,100
2728,102,100
1730,76,100
285,14,100
1689,74,100
2293,91,100
73,4,100
280,13,100
2424,94,100
235,11,100
54,3,52
1124,50,100
3241,115,100
1953,83,100
197,10,100
3171,113,100
1779,78,100
3126,112,100
588,26,100
882,39,100
2430,95,100
156,8,100
1377,59,100
2977,108,100
2696,101,100
2708,101,100
1971,83,100
1832,80,100
1966,83,100
2897,106,100
433,20,100
2536,97,100
1025,45,100
479,22,100
1207,53,100
1173,52,100
3017,109,100
779,35,100
2561,98,100
1865,81,100
2782,103,100
292,14,100
425,20,100
193,10,100
691,31,100
2639,100,100
1488,65,100
1586,69,100
3245,115,100
1591,69,100
1907,82,100
227,11,100
1119,50,100
2861,105,100
1939,82,100
2953,107,100
1553,68,100
3216,114,100
2707,101,100
2804,104,100
2402,94,100
1261,55,100
120,6,100
732,33,100
1526,67,100
1530,67,100
1052,47,100
929,41,100
557,25,100
404,19,100
12,1,100
2738,102,100
2436,95,100
1318,57,100
880,39,100
1712,75,100
1899,82,100
542,25,100
157,8,100
1035,46,100
549,25,100
874,39,100
464,22,100
2243,90,100
2310,92,100
594,26,100
3197,114,100
722,33,100
1987,84,100
709,32,100
1164,52,100
2687,101,100
2968,108,100
237,11,100
2758,103,100
1551,68,100
875,39,100
689,31,100
2367,93,100
3159,113,100
1578,69,100
1485,65,100
3261,115,100
2333,92,100
1634,73,100
2193,89,100
2663,100,100
83,5,100
781,35,100
162,8,100
1303,56,100
860,39,100
3152,112,100
2596,99,100
2793,103,49
2018,84,100
919,41,100
639,29,100
958,42,100
3022,109,100
1034,46,100
2365,93,100
873,39,100
2194,89,100
797,36,100
655,29,100
768,35,100
1793,78,100
1310,57,100
41,3,100
364,17,100
370,17,100
3156,113,100
2591,98,61
1019,45,100
1332,57,44
1940,82,8
263,13,100
105,5,94
1111,50,100
2821,104,100
535,24,100
2213,89,100
1479,64,100
2231,90,100
1714,75,100
2353,93,100
2435,95,100
2256,90,100
623,27,100
91,5,100
1394,59,100
1481,64,100
1560,68,100
1456,63,100
1857,80,94
2175,88,100
1665,74,100
139,7,100
1191,53,100
1306,56,100
328,16,100
2229,90,100
2995,108,100
1663,74,100
3019,109,100
1927,82,100
2833,104,100
2908,106,100
600,27,100
3234,114,7
1309,57,100
1372,59,100
1059,47,100
1476,64,100
1979,83,100
2809,104,100
155,8,100
1299,56,100
2724,102,100
2898,106,100
1146,51,100
1905,82,100
2563,98,100
2046,85,100
2416,94,100
773,35,100
2050,85,100
1835,80,100
1723,76,100
483,22,100
576,26,100
2511,97,100
3068,110,100
3103,111,100
2875,105,7
1537,67,100
256,12,100
1157,51,37
2900,106,100
2075,86,100
190,9,11
1393,59,100
3009,109,100
2811,104,100
2067,86,100
1565,69,100
3102,111,100
195,10,100
1752,76,100
2445,95,100
311,15,100
794,36,100
3043,110,100
2472,96,100
2726,102,100
2986,108,100
2044,85,100
2469,95,46
954,41,71
2713,101,64
1457,63,100
7,1,100
1442,62,100
1376,59,100
2382,93,100
1276,55,100
432,20,100
2826,104,100
1044,46,100
2290,91,100
605,27,100
1542,67,100
2975,108,100
524,24,100
2556,98,100
1403,60,100
1391,59,100
2993,108,100
570,26,100
2961,108,100
3239,115,100
2140,87,100
1923,82,100
2803,104,100
1596,70,30
1126,50,100
1175,52,100
3073,110,100
2309,91,98
3225,114,100
2635,100,100
305,15,100
2885,106,100
2325,92,100
2542,97,100
2992,108,100
59,4,100
1010,44,100
966,42,42
2907,106,100
1315,57,100
3236,115,100
3129,112,100
134,7,100
1086,48,95
2806,104,100
1692,74,100
710,32,100
1638,73,100
808,36,100
1888,81,100
449,21,100
1487,65,100
1406,60,100
2739,102,100
2200,89,100
2543,97,100
3021,109,100
2880,106,100
37,3,100
2428,94,31
3154,112,34
2670,100,100
2644,100,100
33,3,100
1946,83,100
828,37,100
713,32,100
2112,87,100
708,32,100
2060,85,100
2340,92,100
2510,97,100
3207,114,100
2602,99,100
3179,113,100
97,5,100
2824,104,100
418,20,100
3231,114,100
2146,88,100
949,41,100
1903,82,100
368,17,100
2710,101,100
2913,106,100
1135,50,28
1728,76,100
3227,114,100
1199,53,100
2647,100,100
2796,104,100
31,2,3
2171,88,100
2345,92,100
3044,110,100
388,18,100
1601,71,100
906,40,100
1108,50,100
3148,112,100
70,4,100
2461,95,100
448,21,100
2915,106,62
3161,113,100
2906,106,100
1766,77,80
2096,86,100
1937,82,100
1540,67,100
1626,72,100
506,24,100
982,43,100
624,27,100
344,17,100
1189,53,100
1275,55,100
2634,100,100
2890,106,100
1926,82,100
244,12,100
1477,64,100
2311,92,100
1999,84,100
596,26,100
1776,78,100
2130,87,100
3088,111,100
1552,68,100
446,21,100
3177,113,100
2432,95,100
814,36,100
1079,48,100
3111,111,100
2349,93,100
2931,107,100
1914,82,100
2356,93,100
1616,72,100
3114,111,100
903,40,100
57,4,100
2317,92,100
3095,111,100
974,43,100
3065,110,100
2978,108,100
1253,55,100
2740,102,100
2763,103,100
3255,115,100
151,8,100
67,4,100
1336,58,100
2222,89,100
544,25,100
1140,51,100
2324,92,100
1254,55,100
682,31,100
213,11,100
2172,88,100
420,20,100
382,18,100
1411,60,100
3128,112,100
2158,88,100
1627,72,100
1143,51,100
3086,111,100
1449,62,100
45,3,100
894,40,100
936,41,100
2729,102,100
358,17,100
2041,85,100
2164,88,100
3253,115,100
1312,57,100
2116,87,100
619,27,100
881,39,100
843,38,100
2987,108,100
806,36,100
971,43,100
801,36,100
2498,96,100
1184,52,100
3069,110,100
2327,92,100
2122,87,100
3172,113,100
18,1,100
2470,96,100
282,14,100
2103,86,100
1995,84,100
2621,99,100
1000,44,100
1040,46,100
704,32,100
1985,84,100
2864,105,100
1259,55,100
2201,89,100
809,36,100
198,10,100
2134,87,100
990,44,100
2843,105,100
2047,85,100
2745,102,100
2423,94,100
444,21,100
2648,100,100
985,43,100
1188,52,74
385,18,100
2165,88,100
3189,113,100
2129,87,100
2299,91,100
687,31,100
2630,99,100
2034,85,100
811,36,100
2951,107,100
2528,97,100
1956,83,100
636,28,100
1605,71,100
2970,108,100
595,26,100
1930,82,100
1139,51,100
2504,96,100
1705,75,100
1699,74,100
3269,115,100
2100,86,100
2513,97,100
53,3,100
1169,52,100
318,16,100
1068,47,90
2841,105,100
2534,97,100
458,22,100
1245,55,100
1005,44,100
61,4,100
3168,113,100
1170,52,100
447,21,100
3180,113,100
1373,59,100
1486,65,100
1671,74,100
2258,90,100
836,37,100
379,18,100
1446,62,100
163,8,100
692,31,100
1801,79,100
2051,85,100
2119,87,100
2253,90,100
1656,73,100
