articleID,authorName,webHits,commentCount
251,Rafaela Cortez,3189,38
252,Niko Christian,2234,19
253,Jon Radermacher,1621,18
254,Rafaela Cortez,3059,33
255,Destiny Adams,2016,12
256,Matt Janney,1517,18
257,Destiny Adams,2220,8
258,Brewster Dombkowski,545,4
259,Brewster Dombkowski,342,9
260,Paul Semenec,1282,13
261,Jason Wightman,286,6
262,Matt Janney,1820,6
263,Jon Radermacher,1325,11
264,Matt Janney,1413,16
265,Jason Wightman,1193,14
266,Brewster Dombkowski,858,14
267,Paul Semenec,996,5
268,Paul Semenec,908,8
269,Paul Semenec,899,4
270,Destiny Adams,1864,21
271,Niko Christian,2925,36
272,Paul Semenec,1184,12
273,Matt Janney,746,2
274,Matt Janney,1660,13
275,Matt Janney,1818,13
276,Paul Semenec,948,6
277,Nicole Fry,1903,25
278,Matt Janney,761,2
279,Nicole Fry,1819,19
280,Niko Christian,1570,19
281,Jason Wightman,1155,13
282,Jason Wightman,1017,6
283,Jon Radermacher,1038,12
284,Paul Semenec,1332,16
285,Matt Janney,1250,6
286,Destiny Adams,2520,23
287,Nicole Fry,1680,14
288,Brewster Dombkowski,1686,21
289,Jon Radermacher,1373,15
290,Rafaela Cortez,2941,28
291,Brewster Dombkowski,215,0
292,Jon Radermacher,1804,14
293,Rafaela Cortez,2952,37
294,Jason Wightman,689,6
295,Niko Christian,1294,11
296,Brewster Dombkowski,848,4
297,Nicole Fry,1904,25
298,Niko Christian,1758,23
299,Nicole Fry,1808,21
300,Matt Janney,791,12
301,Rafaela Cortez,2753,17
302,Destiny Adams,1634,21
303,Matt Janney,1711,17
304,Brewster Dombkowski,1071,6
305,Jon Radermacher,1421,8
306,Destiny Adams,1699,29
307,Paul Semenec,1334,8
308,Jon Radermacher,1494,7
309,Jon Radermacher,1636,10
310,Nicole Fry,1589,11
311,Niko Christian,2023,19
312,Rafaela Cortez,3162,32
313,Rafaela Cortez,3126,37
314,Jon Radermacher,1580,22
315,Niko Christian,2421,26
316,Niko Christian,1654,17
317,Brewster Dombkowski,143,7
318,Nicole Fry,2484,22
319,Paul Semenec,1302,8
320,Jason Wightman,967,17
321,Niko Christian,1958,23
322,Jason Wightman,1008,9
323,Paul Semenec,1041,10
324,Jason Wightman,1059,13
325,Brewster Dombkowski,553,8
326,Brewster Dombkowski,1231,12
327,Jon Radermacher,1878,17
328,Destiny Adams,2056,26
329,Nicole Fry,2640,27
330,Paul Semenec,650,9
331,Destiny Adams,1832,19
332,Jon Radermacher,1491,11
333,Paul Semenec,981,11
334,Destiny Adams,1819,17
335,Destiny Adams,1979,10
336,Jason Wightman,1415,17
337,Rafaela Cortez,3245,30
338,Matt Janney,1728,10
339,Destiny Adams,2040,20
340,Jason Wightman,179,8
341,Niko Christian,1794,18
342,Matt Janney,1045,18
343,Jon Radermacher,1113,11
344,Matt Janney,1831,12
345,Rafaela Cortez,3221,35
346,Jason Wightman,1117,9
347,Rafaela Cortez,2777,31
348,Destiny Adams,1848,24
349,Niko Christian,1998,19
350,Paul Semenec,1162,9
351,Jason Wightman,1142,10
352,Niko Christian,2064,21
353,Nicole Fry,2270,15
354,Paul Semenec,942,7
355,Jason Wightman,916,13
356,Jon Radermacher,1594,15
357,Destiny Adams,1904,15
358,Brewster Dombkowski,1211,17
359,Brewster Dombkowski,1969,18
360,Jon Radermacher,1654,23
361,Nicole Fry,2433,27
362,Nicole Fry,2267,23
363,Destiny Adams,2252,25
364,Destiny Adams,1687,15
365,Nicole Fry,2635,28
366,Destiny Adams,2043,29
367,Nicole Fry,1844,23
368,Nicole Fry,2346,17
369,Jon Radermacher,1426,9
370,Rafaela Cortez,2858,30
371,Paul Semenec,759,17
372,Jon Radermacher,2019,27
373,Jon Radermacher,1700,13
374,Niko Christian,1678,26
375,Jon Radermacher,1368,13
376,Destiny Adams,1759,19
377,Brewster Dombkowski,1182,12
378,Paul Semenec,952,20
379,Rafaela Cortez,3013,35
380,Nicole Fry,1803,22
381,Rafaela Cortez,2883,19
382,Jason Wightman,1169,19
383,Brewster Dombkowski,592,2
384,Jon Radermacher,1377,12
385,Destiny Adams,1898,36
386,Brewster Dombkowski,463,2
387,Jon Radermacher,1528,9
388,Matt Janney,1437,22
389,Paul Semenec,1091,9
390,Brewster Dombkowski,1289,16
391,Matt Janney,1631,12
392,Destiny Adams,1890,20
393,Rafaela Cortez,3039,33
394,Niko Christian,1958,27
395,Brewster Dombkowski,1505,18
396,Jon Radermacher,1533,19
397,Jason Wightman,773,1
398,Rafaela Cortez,3000,23
399,Jon Radermacher,1518,17
400,Nicole Fry,1276,13
401,Rafaela Cortez,3129,43
402,Destiny Adams,1918,15
403,Nicole Fry,2162,19
404,Destiny Adams,1705,20
405,Brewster Dombkowski,934,19
406,Rafaela Cortez,2932,33
407,Matt Janney,843,11
408,Rafaela Cortez,2829,29
409,Jason Wightman,691,1
410,Niko Christian,1325,24
411,Paul Semenec,1592,18
412,Paul Semenec,535,4
413,Niko Christian,2322,21
414,Jon Radermacher,1331,10
415,Destiny Adams,1982,32
416,Rafaela Cortez,2932,27
417,Rafaela Cortez,2856,31
418,Rafaela Cortez,3120,31
419,Jason Wightman,1326,16
420,Jason Wightman,254,1
421,Rafaela Cortez,2903,25
422,Jason Wightman,584,10
423,Rafaela Cortez,3149,25
424,Matt Janney,959,9
425,Brewster Dombkowski,458,7
426,Jason Wightman,727,11
427,Nicole Fry,2211,22
428,Jason Wightman,1125,19
429,Jason Wightman,1505,16
430,Nicole Fry,2116,23
431,Rafaela Cortez,2924,33
432,Jon Radermacher,1501,8
433,Nicole Fry,1431,17
434,Rafaela Cortez,2977,23
435,Destiny Adams,1985,18
436,Matt Janney,1115,14
437,Matt Janney,2213,24
438,Paul Semenec,1012,7
439,Nicole Fry,2116,21
440,Nicole Fry,2690,24
441,Jason Wightman,973,5
442,Brewster Dombkowski,1182,14
443,Jon Radermacher,1292,14
444,Rafaela Cortez,2994,32
445,Paul Semenec,770,6
446,Nicole Fry,1783,11
447,Paul Semenec,1033,12
448,Niko Christian,2314,24
449,Niko Christian,1906,14
450,Matt Janney,1961,27
451,Jon Radermacher,1679,17
452,Jason Wightman,276,9
453,Nicole Fry,2077,19
454,Rafaela Cortez,3134,25
455,Paul Semenec,1370,11
456,Paul Semenec,1027,11
457,Niko Christian,2168,24
458,Rafaela Cortez,2897,24
459,Matt Janney,1279,9
460,Destiny Adams,1967,33
461,Paul Semenec,16,8
462,Matt Janney,1936,17
463,Niko Christian,1775,17
464,Brewster Dombkowski,1446,11
465,Jason Wightman,839,14
466,Niko Christian,1866,19
467,Matt Janney,1188,3
468,Nicole Fry,2129,25
469,Jon Radermacher,1491,17
470,Nicole Fry,2735,25
471,Jon Radermacher,1771,21
472,Rafaela Cortez,2841,26
473,Niko Christian,2812,29
474,Rafaela Cortez,3117,30
475,Nicole Fry,1621,27
476,Jason Wightman,523,3
477,Niko Christian,1921,25
478,Jason Wightman,834,8
479,Brewster Dombkowski,1147,9
480,Paul Semenec,1223,18
481,Matt Janney,1477,9
482,Destiny Adams,2313,16
483,Jon Radermacher,1782,16
484,Paul Semenec,1498,12
485,Niko Christian,2898,21
486,Destiny Adams,2362,21
487,Nicole Fry,2805,31
488,Matt Janney,1109,8
489,Niko Christian,1917,14
490,Destiny Adams,2091,21
491,Rafaela Cortez,2926,32
492,Brewster Dombkowski,794,11
493,Rafaela Cortez,3109,37
494,Paul Semenec,1027,14
495,Jason Wightman,992,9
496,Matt Janney,1740,18
497,Jon Radermacher,1860,22
498,Destiny Adams,2085,30
499,Matt Janney,1191,16
500,Matt Janney,1675,16
501,Matt Janney,1576,20
502,Destiny Adams,1905,21
503,Nicole Fry,1726,15
504,Nicole Fry,2323,21
505,Rafaela Cortez,2991,26
506,Matt Janney,1696,24
507,Rafaela Cortez,3027,38
508,Niko Christian,1447,14
509,Brewster Dombkowski,1034,13
510,Destiny Adams,2233,20
511,Niko Christian,2785,26
512,Destiny Adams,2466,25
513,Matt Janney,2123,15
514,Rafaela Cortez,3137,38
515,Brewster Dombkowski,894,9
516,Jon Radermacher,1562,19
517,Jason Wightman,469,8
518,Niko Christian,1838,12
519,Niko Christian,742,7
520,Rafaela Cortez,2865,31
521,Destiny Adams,2116,15
522,Rafaela Cortez,2948,28
523,Jon Radermacher,1612,18
524,Destiny Adams,1783,14
525,Matt Janney,1560,17
526,Matt Janney,1255,11
527,Niko Christian,2667,31
528,Niko Christian,2868,31
529,Matt Janney,1364,14
530,Niko Christian,1877,20
531,Jon Radermacher,1332,7
532,Niko Christian,1496,18
533,Rafaela Cortez,2958,38
534,Paul Semenec,959,0
535,Brewster Dombkowski,1668,20
536,Nicole Fry,2285,27
537,Brewster Dombkowski,1616,18
538,Nicole Fry,1786,23
539,Destiny Adams,1766,19
540,Destiny Adams,1755,12
541,Brewster Dombkowski,1361,7
542,Nicole Fry,1375,16
543,Paul Semenec,37,2
544,Niko Christian,2603,28
545,Niko Christian,2211,26
546,Nicole Fry,1085,9
547,Jon Radermacher,1613,16
548,Paul Semenec,1371,19
549,Jason Wightman,862,12
550,Niko Christian,1966,8
551,Rafaela Cortez,3068,22
552,Niko Christian,2374,29
553,Jon Radermacher,1087,0
554,Matt Janney,2269,25
555,Rafaela Cortez,2948,26
556,Niko Christian,1805,18
557,Nicole Fry,1782,22
558,Paul Semenec,187,4
559,Rafaela Cortez,2824,22
560,Paul Semenec,1098,6
561,Paul Semenec,1285,12
562,Paul Semenec,813,10
563,Nicole Fry,1694,16
564,Paul Semenec,555,5
565,Rafaela Cortez,3060,28
566,Nicole Fry,1768,13
567,Paul Semenec,1449,8
568,Rafaela Cortez,2752,41
569,Jon Radermacher,1250,17
570,Nicole Fry,2155,20
571,Nicole Fry,1854,17
572,Brewster Dombkowski,706,5
573,Matt Janney,1648,26
574,Brewster Dombkowski,715,5
575,Nicole Fry,3335,37
576,Niko Christian,2069,25
577,Paul Semenec,656,1
578,Matt Janney,1693,19
579,Nicole Fry,2246,15
580,Rafaela Cortez,2943,28
581,Paul Semenec,1318,13
582,Rafaela Cortez,3063,32
583,Brewster Dombkowski,1217,13
584,Rafaela Cortez,3009,28
585,Rafaela Cortez,3065,25
586,Paul Semenec,1253,14
587,Niko Christian,1688,24
588,Nicole Fry,2417,21
589,Paul Semenec,666,7
590,Nicole Fry,2309,27
591,Jason Wightman,503,1
592,Nicole Fry,2697,29
593,Jon Radermacher,1197,9
594,Nicole Fry,2029,18
595,Niko Christian,2485,24
596,Rafaela Cortez,3013,25
597,Destiny Adams,2127,21
598,Niko Christian,2828,28
599,Jon Radermacher,1713,11
600,Paul Semenec,311,1
601,Niko Christian,3163,25
602,Paul Semenec,1465,8
603,Destiny Adams,1961,19
604,Jason Wightman,1071,12
605,Matt Janney,1523,13
606,Destiny Adams,2128,19
607,Nicole Fry,1721,20
608,Paul Semenec,815,7
609,Matt Janney,1412,14
610,Destiny Adams,1876,13
611,Niko Christian,1775,14
612,Nicole Fry,1940,13
613,Jason Wightman,690,19
614,Nicole Fry,1501,14
615,Destiny Adams,1952,23
616,Jon Radermacher,1950,23
617,Niko Christian,2831,23
618,Jason Wightman,570,11
619,Niko Christian,2021,19
620,Jason Wightman,786,8
621,Rafaela Cortez,2943,30
622,Niko Christian,2352,33
623,Niko Christian,2153,22
624,Jon Radermacher,1532,6
625,Jason Wightman,2082,18
626,Jason Wightman,750,9
627,Niko Christian,1051,6
628,Rafaela Cortez,2881,36
629,Destiny Adams,1958,7
630,Destiny Adams,1875,24
631,Jason Wightman,1529,13
632,Nicole Fry,2588,26
633,Jason Wightman,773,8
634,Paul Semenec,1040,0
635,Destiny Adams,2074,22
636,Jason Wightman,1402,11
637,Matt Janney,1250,12
638,Niko Christian,1513,16
639,Rafaela Cortez,3224,24
640,Jason Wightman,725,7
641,Jason Wightman,854,9
642,Paul Semenec,638,1
643,Paul Semenec,508,9
644,Nicole Fry,2102,26
645,Nicole Fry,1128,13
646,Jon Radermacher,1524,15
647,Brewster Dombkowski,1753,25
648,Paul Semenec,1257,16
649,Jason Wightman,620,9
650,Niko Christian,3326,35
651,Paul Semenec,856,8
652,Jason Wightman,1249,17
653,Nicole Fry,1281,17
654,Nicole Fry,2127,25
655,Jason Wightman,1032,9
656,Paul Semenec,869,4
657,Niko Christian,1591,17
658,Niko Christian,1775,25
659,Paul Semenec,1627,14
660,Niko Christian,1957,26
661,Nicole Fry,1708,16
662,Brewster Dombkowski,1617,18
663,Matt Janney,1366,1
664,Rafaela Cortez,3120,34
665,Nicole Fry,1474,13
666,Brewster Dombkowski,71,1
667,Jon Radermacher,1625,23
668,Jason Wightman,1005,15
669,Matt Janney,965,5
670,Destiny Adams,2131,25
671,Niko Christian,1350,19
672,Rafaela Cortez,2975,24
673,Niko Christian,3675,37
674,Destiny Adams,2176,15
675,Jason Wightman,1423,16
676,Destiny Adams,2138,29
677,Rafaela Cortez,3184,23
678,Jon Radermacher,1473,13
679,Destiny Adams,1894,17
680,Matt Janney,1152,20
681,Destiny Adams,2107,19
682,Destiny Adams,1897,19
683,Matt Janney,1235,14
684,Destiny Adams,2298,29
685,Paul Semenec,1871,17
686,Jason Wightman,1153,18
687,Jason Wightman,645,6
688,Jason Wightman,1100,14
689,Rafaela Cortez,3112,25
690,Matt Janney,1607,17
691,Niko Christian,1309,22
692,Brewster Dombkowski,88,11
693,Rafaela Cortez,3236,34
694,Jon Radermacher,1578,12
695,Nicole Fry,2090,16
696,Brewster Dombkowski,639,5
697,Destiny Adams,2099,23
698,Jon Radermacher,1504,21
699,Jason Wightman,896,11
700,Matt Janney,1804,15
701,Niko Christian,2284,22
702,Nicole Fry,2232,24
703,Niko Christian,1350,14
704,Rafaela Cortez,2941,30
705,Jon Radermacher,1453,16
706,Niko Christian,1954,24
707,Nicole Fry,1917,14
708,Niko Christian,1786,26
709,Paul Semenec,1084,7
710,Matt Janney,1646,21
711,Destiny Adams,2158,22
712,Paul Semenec,477,9
713,Destiny Adams,1907,28
714,Niko Christian,1587,16
715,Jason Wightman,22,2
716,Destiny Adams,1829,19
717,Matt Janney,1870,20
718,Niko Christian,1129,15
719,Rafaela Cortez,2968,23
720,Matt Janney,1249,15
721,Jon Radermacher,1235,9
722,Brewster Dombkowski,787,17
723,Niko Christian,1350,16
724,Destiny Adams,2036,1
725,Rafaela Cortez,3245,25
726,Nicole Fry,1005,6
727,Jason Wightman,439,2
728,Matt Janney,1859,20
729,Paul Semenec,777,11
730,Paul Semenec,1149,15
731,Brewster Dombkowski,1855,20
732,Niko Christian,1222,6
733,Jon Radermacher,1415,7
734,Jason Wightman,1164,13
735,Niko Christian,1281,9
736,Nicole Fry,2390,29
737,Rafaela Cortez,2994,32
738,Nicole Fry,2154,19
739,Jason Wightman,1122,12
740,Niko Christian,2893,34
741,Nicole Fry,1927,23
742,Rafaela Cortez,3056,29
743,Paul Semenec,606,3
744,Jason Wightman,1163,17
745,Niko Christian,1511,14
746,Jon Radermacher,1656,6
747,Nicole Fry,2270,17
748,Niko Christian,1522,19
749,Brewster Dombkowski,1503,15
750,Niko Christian,1377,22
751,Nicole Fry,1719,16
752,Matt Janney,1521,15
753,Jon Radermacher,1383,7
754,Jon Radermacher,1709,13
755,Nicole Fry,2168,27
756,Paul Semenec,1457,15
757,Destiny Adams,2539,29
758,Niko Christian,1608,18
759,Destiny Adams,1861,16
760,Brewster Dombkowski,760,5
761,Niko Christian,1622,15
762,Brewster Dombkowski,662,3
763,Paul Semenec,1202,6
764,Rafaela Cortez,2920,26
765,Niko Christian,1633,15
766,Jon Radermacher,1622,19
767,Paul Semenec,621,6
768,Matt Janney,1746,12
769,Matt Janney,1367,6
770,Jon Radermacher,1424,15
771,Rafaela Cortez,2963,32
772,Paul Semenec,497,9
773,Destiny Adams,1878,10
774,Jason Wightman,300,1
775,Paul Semenec,390,4
776,Destiny Adams,1773,13
777,Brewster Dombkowski,1088,7
778,Brewster Dombkowski,272,1
779,Nicole Fry,2002,23
780,Jon Radermacher,1628,15
781,Jason Wightman,691,4
782,Matt Janney,1540,10
783,Matt Janney,1535,15
784,Nicole Fry,2134,17
785,Jon Radermacher,1498,5
786,Jon Radermacher,1185,6
787,Nicole Fry,1382,15
788,Paul Semenec,1276,13
789,Brewster Dombkowski,454,9
790,Destiny Adams,1890,21
791,Brewster Dombkowski,737,3
792,Rafaela Cortez,3069,20
793,Brewster Dombkowski,420,7
794,Matt Janney,1276,15
795,Destiny Adams,2143,15
796,Nicole Fry,1604,12
797,Jason Wightman,1323,13
798,Brewster Dombkowski,804,6
799,Jason Wightman,820,10
800,Matt Janney,1325,17
801,Niko Christian,1692,19
802,Jason Wightman,469,5
803,Nicole Fry,2197,20
804,Matt Janney,1156,18
805,Rafaela Cortez,2728,23
806,Jason Wightman,840,6
807,Niko Christian,1885,17
808,Brewster Dombkowski,1688,15
809,Jon Radermacher,1563,19
810,Niko Christian,1601,7
811,Niko Christian,2822,22
812,Jon Radermacher,1446,4
813,Jason Wightman,1035,16
814,Brewster Dombkowski,1384,19
815,Jason Wightman,1272,7
816,Brewster Dombkowski,1036,6
817,Niko Christian,1934,21
818,Destiny Adams,2018,20
819,Matt Janney,1893,19
820,Brewster Dombkowski,686,10
821,Paul Semenec,1156,1
822,Matt Janney,1334,10
823,Matt Janney,1423,7
824,Matt Janney,1610,14
825,Matt Janney,1172,14
826,Jon Radermacher,1750,8
827,Paul Semenec,1101,13
828,Brewster Dombkowski,85,16
829,Nicole Fry,2903,28
830,Rafaela Cortez,3052,35
831,Nicole Fry,1991,25
832,Matt Janney,1819,16
833,Nicole Fry,2381,18
834,Brewster Dombkowski,797,16
835,Destiny Adams,1408,5
836,Paul Semenec,455,4
837,Jon Radermacher,1335,10
838,Paul Semenec,1094,5
839,Niko Christian,1685,16
840,Destiny Adams,2252,20
841,Paul Semenec,249,0
842,Paul Semenec,1006,11
843,Nicole Fry,2495,22
844,Rafaela Cortez,2907,32
845,Jason Wightman,1521,13
846,Niko Christian,1318,12
847,Paul Semenec,1021,10
848,Matt Janney,1963,15
849,Jason Wightman,665,5
850,Jason Wightman,367,8
851,Jason Wightman,919,6
852,Jason Wightman,1337,9
853,Matt Janney,1681,9
854,Matt Janney,1992,19
855,Paul Semenec,728,9
856,Brewster Dombkowski,1659,14
857,Paul Semenec,1095,1
858,Jason Wightman,993,11
859,Jason Wightman,1248,19
860,Paul Semenec,875,1
861,Nicole Fry,1573,17
862,Nicole Fry,1998,18
863,Niko Christian,2663,29
864,Nicole Fry,2630,25
865,Rafaela Cortez,3046,33
866,Niko Christian,1369,18
867,Matt Janney,1429,7
868,Nicole Fry,2581,24
869,Jason Wightman,1196,14
870,Nicole Fry,2136,18
871,Jason Wightman,1191,13
872,Nicole Fry,1858,28
873,Jason Wightman,1575,9
874,Jon Radermacher,1777,9
875,Brewster Dombkowski,963,6
876,Paul Semenec,744,18
877,Jason Wightman,1320,17
878,Destiny Adams,1971,24
879,Niko Christian,2915,22
880,Matt Janney,2077,14
881,Rafaela Cortez,2843,25
882,Paul Semenec,664,3
883,Jason Wightman,681,0
884,Brewster Dombkowski,1033,0
885,Rafaela Cortez,2896,29
886,Nicole Fry,1505,11
887,Brewster Dombkowski,589,9
888,Rafaela Cortez,2955,29
889,Destiny Adams,1905,15
890,Matt Janney,1761,17
891,Nicole Fry,1910,5
892,Destiny Adams,2197,22
893,Niko Christian,1882,16
894,Nicole Fry,1809,15
895,Paul Semenec,1005,8
896,Destiny Adams,1919,24
897,Paul Semenec,861,10
898,Paul Semenec,560,12
899,Rafaela Cortez,3012,26
900,Jon Radermacher,1432,17
901,Jason Wightman,1560,9
902,Jason Wightman,1008,12
903,Matt Janney,2443,27
904,Matt Janney,1240,11
905,Jason Wightman,1044,10
906,Destiny Adams,1951,21
907,Rafaela Cortez,3047,28
908,Brewster Dombkowski,1915,17
909,Paul Semenec,1041,10
910,Jason Wightman,906,14
911,Nicole Fry,1673,17
912,Jon Radermacher,1513,14
913,Brewster Dombkowski,1398,10
914,Paul Semenec,1347,7
915,Jon Radermacher,1566,18
916,Destiny Adams,1960,13
917,Destiny Adams,1957,30
918,Paul Semenec,644,8
919,Niko Christian,2304,11
920,Matt Janney,1314,14
921,Destiny Adams,1843,12
922,Matt Janney,1081,6
923,Jon Radermacher,1249,12
924,Matt Janney,1421,20
925,Matt Janney,1569,11
926,Paul Semenec,750,12
927,Brewster Dombkowski,819,10
928,Rafaela Cortez,3004,20
929,Nicole Fry,1256,7
930,Jason Wightman,1133,21
931,Jason Wightman,669,9
932,Brewster Dombkowski,736,5
933,Jason Wightman,1500,11
934,Jon Radermacher,1654,20
